Admin_Unit_Code,Sub_Unit_Code,Site_Name,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt,TaxonCode,Previously_Obs,Month,Hour,Season,Observation_Duration
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,2.5 - 5 min,Visualization,<= 50 Meters,False,,Mourning Dove,Zenaida macroura,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,2.5 - 5 min,Singing,<= 50 Meters,False,Undetermined,Field Sparrow,Spizella pusilla,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,,,Kimberly Serno,1,5 - 7.5 min,Calling,50 - 100 Meters,False,,Red-bellied Woodpecker,Melanerpes carolinus,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,,,Kimberly Serno,1,7.5 - 10 min,Singing,50 - 100 Meters,False,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,,,Kimberly Serno,1,0-2.5 min,Singing,<= 50 Meters,False,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,,,Kimberly Serno,1,0-2.5 min,Singing,<= 50 Meters,False,,Eastern Bluebird,Sialia sialis,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,,,Kimberly Serno,1,0-2.5 min,Calling,<= 50 Meters,False,,Downy Woodpecker,Picoides pubescens,False,True,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,,,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,False,Undetermined,Chipping Sparrow,Spizella passerina,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,,,Kimberly Serno,1,2.5 - 5 min,Singing,<= 50 Meters,False,,Carolina Wren,Thryothorus ludovicianus,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,,,Kimberly Serno,1,0-2.5 min,Calling,50 - 100 Meters,False,,Carolina Wren,Thryothorus ludovicianus,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,,,Kimberly Serno,1,7.5 - 10 min,Singing,<= 50 Meters,False,,Baltimore Oriole,Icterus galbula,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,,,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,False,,Northern Cardinal,Cardinalis cardinalis,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0082,Forest,2018,2018-05-22,,,Kimberly Serno,1,2.5 - 5 min,Calling,50 - 100 Meters,False,,Great Crested Flycatcher,Myiarchus crinitus,False,False,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,,,Kimberly Serno,1,2.5 - 5 min,Singing,50 - 100 Meters,False,Undetermined,Eastern Wood-Pewee,Contopus virens,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,,,Kimberly Serno,1,7.5 - 10 min,Singing,50 - 100 Meters,False,Undetermined,Field Sparrow,Spizella pusilla,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,,,Kimberly Serno,1,2.5 - 5 min,Singing,<= 50 Meters,False,Undetermined,Indigo Bunting,Passerina cyanea,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,,,Kimberly Serno,1,0-2.5 min,Calling,50 - 100 Meters,False,,Mourning Dove,Zenaida macroura,False,False,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,,,Kimberly Serno,1,0-2.5 min,Singing,<= 50 Meters,False,,Northern Cardinal,Cardinalis cardinalis,False,False,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,,,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,False,,Northern Cardinal,Cardinalis cardinalis,False,False,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,,,Kimberly Serno,1,7.5 - 10 min,Singing,<= 50 Meters,False,Undetermined,Field Sparrow,Spizella pusilla,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,,,Kimberly Serno,1,7.5 - 10 min,Singing,50 - 100 Meters,False,Undetermined,Chipping Sparrow,Spizella passerina,False,False,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,,,Kimberly Serno,1,5 - 7.5 min,Singing,<= 50 Meters,False,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,,,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,False,Undetermined,Field Sparrow,Spizella pusilla,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,,,Kimberly Serno,1,5 - 7.5 min,Calling,<= 50 Meters,False,,Blue-gray Gnatcatcher,Polioptila caerulea,False,False,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,,,Kimberly Serno,1,2.5 - 5 min,Calling,<= 50 Meters,False,,Carolina Chickadee,Poecile carolinensis,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,,,Kimberly Serno,1,5 - 7.5 min,Calling,<= 50 Meters,False,,Cedar Waxwing,Bombycilla cedrorum,False,False,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0078,Forest,2018,2018-05-22,,,Kimberly Serno,1,2.5 - 5 min,Singing,50 - 100 Meters,False,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,False,True,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,False,,Blue Jay,Cyanocitta cristata,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,7.5 - 10 min,Visualization,<= 50 Meters,False,Undetermined,Eastern Bluebird,Sialia sialis,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,False,,American Goldfinch,Spinus tristis,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,0-2.5 min,Visualization,,True,,Cedar Waxwing,Bombycilla cedrorum,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,False,Undetermined,Field Sparrow,Spizella pusilla,False,True,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,False,Undetermined,Indigo Bunting,Passerina cyanea,False,True,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,5 - 7.5 min,Visualization,,True,,Red-winged Blackbird,Agelaius phoeniceus,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0025,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,False,,Northern Mockingbird,Mimus polyglottos,False,False,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,False,,Carolina Wren,Thryothorus ludovicianus,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,5 - 7.5 min,Singing,<= 50 Meters,False,,Eastern Tufted Titmouse,Baeolophus bicolor,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,7.5 - 10 min,Visualization,<= 50 Meters,False,Male,Pileated Woodpecker,Dryocopus pileatus,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,7.5 - 10 min,Visualization,<= 50 Meters,False,Undetermined,Pileated Woodpecker,Dryocopus pileatus,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,,Northern Cardinal,Cardinalis cardinalis,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,0-2.5 min,Calling,<= 50 Meters,False,,Northern Cardinal,Cardinalis cardinalis,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,5 - 7.5 min,Visualization,<= 50 Meters,False,Undetermined,Brown-headed Cowbird,Molothrus ater,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,5 - 7.5 min,Singing,50 - 100 Meters,False,Undetermined,Field Sparrow,Spizella pusilla,False,True,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,False,,Eastern Tufted Titmouse,Baeolophus bicolor,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,5 - 7.5 min,Singing,50 - 100 Meters,False,Undetermined,Eastern Wood-Pewee,Contopus virens,False,True,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,,Cedar Waxwing,Bombycilla cedrorum,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,0-2.5 min,Calling,<= 50 Meters,False,,Blue-gray Gnatcatcher,Polioptila caerulea,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0052,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,5 - 7.5 min,Visualization,<= 50 Meters,False,Male,Brown-headed Cowbird,Molothrus ater,False,False,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0072,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,,Cedar Waxwing,Bombycilla cedrorum,False,False,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0072,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,False,,Carolina Wren,Thryothorus ludovicianus,False,False,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0072,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,5 - 7.5 min,Singing,50 - 100 Meters,False,,Carolina Chickadee,Poecile carolinensis,False,True,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0072,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,0-2.5 min,Calling,<= 50 Meters,False,,Eastern Tufted Titmouse,Baeolophus bicolor,False,False,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0072,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,False,,Northern Cardinal,Cardinalis cardinalis,False,False,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0072,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,False,,Red-bellied Woodpecker,Melanerpes carolinus,False,False,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0072,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,False,Undetermined,Red-eyed Vireo,Vireo olivaceus,False,False,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0072,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,False,,Eastern Bluebird,Sialia sialis,False,False,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0072,Forest,2018,2018-05-23,,,Elizabeth Oswald,1,5 - 7.5 min,Calling,50 - 100 Meters,False,,Unidentified Chickadee,Poecile,False,False,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0092,Forest,2018,2018-05-24,,,Kimberly Serno,1,0-2.5 min,Singing,<= 50 Meters,False,,Eastern Tufted Titmouse,Baeolophus bicolor,False,False,14.0,87.4000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0092,Forest,2018,2018-05-24,,,Kimberly Serno,1,0-2.5 min,Singing,<= 50 Meters,False,,Acadian Flycatcher,Empidonax virescens,False,True,14.0,87.4000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0092,Forest,2018,2018-05-24,,,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,False,,Acadian Flycatcher,Empidonax virescens,False,True,14.0,87.4000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,True,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0092,Forest,2018,2018-05-24,,,Kimberly Serno,1,5 - 7.5 min,Singing,<= 50 Meters,False,,American Goldfinch,Spinus tristis,False,False,14.0,87.4000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0092,Forest,2018,2018-05-24,,,Kimberly Serno,1,2.5 - 5 min,Calling,<= 50 Meters,False,,Blue-gray Gnatcatcher,Polioptila caerulea,False,False,14.0,87.4000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0092,Forest,2018,2018-05-24,,,Kimberly Serno,1,5 - 7.5 min,Calling,50 - 100 Meters,False,,Brown-headed Cowbird,Molothrus ater,False,False,14.0,87.4000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0092,Forest,2018,2018-05-24,,,Kimberly Serno,1,2.5 - 5 min,Singing,50 - 100 Meters,False,,Carolina Wren,Thryothorus ludovicianus,False,False,14.0,87.4000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,False,,,5,,Summer,
ANTI,,ANTI 1,ANTI-0092,Forest,2018,2018-05-24,,,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,False,Undetermined,Eastern Wood-Pewee,Contopus virens,False,True,14.0,87.4000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,True,,,5,,Summer,
